rank,player,team,position,pos_rank,tier,bye,ecr_vs_adp
1,Ja'Marr Chase,CIN,WR,1,1,6.0,2.0
2,Bijan Robinson,ATL,RB,1,1,11.0,0.0
3,Puka Nacua,LAR,WR,2,1,11.0,1.0
4,Jaxon Smith-Njigba,SEA,WR,3,1,11.0,1.0
5,Jahmyr Gibbs,DET,RB,2,1,6.0,-4.0
6,Amon-Ra St. Brown,DET,WR,4,2,6.0,1.0
7,CeeDee Lamb,DAL,WR,5,2,14.0,4.0
8,Christian McCaffrey,SF,RB,3,2,8.0,-2.0
9,Justin Jefferson,MIN,WR,6,2,6.0,1.0
10,Jonathan Taylor,IND,RB,4,2,13.0,-2.0
11,Drake London,ATL,WR,7,2,11.0,7.0
12,Nico Collins,HOU,WR,8,3,8.0,10.0
13,Ashton Jeanty,LV,RB,5,3,13.0,-4.0
14,A.J. Brown,NE,WR,9,3,11.0,5.0
15,George Pickens,DAL,WR,10,3,14.0,9.0
16,Trey McBride,ARI,TE,1,3,14.0,7.0
17,De'Von Achane,MIA,RB,6,3,6.0,0.0
18,Chris Olave,NO,WR,11,3,8.0,10.0
19,James Cook III,BUF,RB,7,3,7.0,-7.0
20,Brock Bowers,LV,TE,2,3,13.0,0.0
21,Chase Brown,CIN,RB,8,3,6.0,-6.0
22,Rashee Rice,KC,WR,12,3,5.0,3.0
23,Josh Allen,BUF,QB,1,4,7.0,6.0
24,Saquon Barkley,PHI,RB,9,4,10.0,-10.0
25,DeVonta Smith,PHI,WR,13,4,10.0,2.0
26,Omarion Hampton,LAC,RB,10,4,7.0,-13.0
27,Tetairoa McMillan,CAR,WR,14,4,5.0,13.0
28,Garrett Wilson,NYJ,WR,15,4,13.0,9.0
29,Malik Nabers,NYG,WR,16,4,8.0,10.0
30,Kenneth Walker III,KC,RB,11,4,5.0,-14.0
31,Lamar Jackson,BAL,QB,2,4,13.0,20.0
32,Tee Higgins,CIN,WR,17,4,6.0,6.0
33,Drake Maye,NE,QB,3,4,11.0,28.0
34,Zay Flowers,BAL,WR,18,4,13.0,-3.0
35,Jeremiyah Love,ARI,RB,12,5,14.0,-9.0
36,Ladd McConkey,LAC,WR,19,5,7.0,-1.0
37,Colston Loveland,CHI,TE,3,5,10.0,4.0
38,Derrick Henry,BAL,RB,13,5,13.0,-17.0
39,Jaylen Waddle,DEN,WR,20,5,10.0,6.0
40,Breece Hall,NYJ,RB,14,5,13.0,-10.0
41,Emeka Egbuka,TB,WR,21,5,10.0,-8.0
42,Terry McLaurin,WAS,WR,22,5,7.0,2.0
43,Kyren Williams,LAR,RB,15,5,11.0,-11.0
44,Joe Burrow,CIN,QB,4,5,6.0,15.0
45,Luther Burden III,CHI,WR,23,5,10.0,-2.0
46,Josh Jacobs,GB,RB,16,5,11.0,-4.0
47,Travis Etienne Jr.,NO,RB,17,5,8.0,-11.0
48,Javonte Williams,DAL,RB,18,5,14.0,-14.0
49,Davante Adams,LAR,WR,24,5,11.0,-2.0
50,Mike Evans,SF,WR,25,6,8.0,5.0
51,Jameson Williams,DET,WR,26,6,6.0,-1.0
52,DJ Moore,BUF,WR,27,6,7.0,2.0
53,Tyler Warren,IND,TE,4,6,13.0,11.0
54,Christian Watson,GB,WR,28,6,11.0,-1.0
55,Cam Skattebo,NYG,RB,19,6,8.0,-9.0
56,Jayden Daniels,WAS,QB,5,6,7.0,9.0
57,Jalen Hurts,PHI,QB,6,6,10.0,18.0
58,Bucky Irving,TB,RB,20,6,10.0,2.0
59,Rome Odunze,CHI,WR,29,6,10.0,-1.0
60,TreVeyon Henderson,NE,RB,21,6,11.0,-8.0
61,Quinshon Judkins,CLE,RB,22,6,11.0,-5.0
62,Carnell Tate,TEN,WR,30,6,9.0,0.0
63,D'Andre Swift,CHI,RB,23,6,10.0,-14.0
64,David Montgomery,HOU,RB,24,6,8.0,-16.0
65,Caleb Williams,CHI,QB,7,6,10.0,6.0
66,Marvin Harrison Jr.,ARI,WR,31,6,14.0,1.0
67,Justin Herbert,LAC,QB,8,6,7.0,6.0
68,Jaylen Warren,PIT,RB,25,6,9.0,1.0
69,Bhayshul Tuten,JAC,RB,26,7,7.0,-12.0
70,Harold Fannin Jr.,CLE,TE,5,7,11.0,24.0
71,Tucker Kraft,GB,TE,6,7,11.0,11.0
72,Alec Pierce,IND,WR,32,7,13.0,11.0
73,Courtland Sutton,DEN,WR,33,7,10.0,4.0
74,DK Metcalf,PIT,WR,34,7,9.0,-2.0
75,Jadarian Price,SEA,RB,27,7,11.0,-7.0
76,Trevor Lawrence,JAC,QB,9,7,7.0,4.0
77,Chris Godwin Jr.,TB,WR,35,7,10.0,9.0
78,Kyle Pitts Sr.,ATL,TE,7,7,11.0,12.0
79,Chuba Hubbard,CAR,RB,28,7,5.0,-3.0
80,Jordyn Tyson,NO,WR,36,7,8.0,-10.0
81,Rhamondre Stevenson,NE,RB,29,7,11.0,-3.0
82,Michael Wilson,ARI,WR,37,7,14.0,9.0
83,Tony Pollard,TEN,RB,30,7,9.0,-9.0
84,Jaxson Dart,NYG,QB,10,7,8.0,14.0
85,Dak Prescott,DAL,QB,11,7,14.0,-4.0
86,Michael Pittman Jr.,PIT,WR,38,7,9.0,1.0
87,Rico Dowdle,PIT,RB,31,7,9.0,2.0
88,RJ Harvey,DEN,RB,32,7,10.0,-4.0
89,Brian Thomas Jr.,JAC,WR,39,7,7.0,-26.0
90,Sam LaPorta,DET,TE,8,7,6.0,3.0
91,Wan'Dale Robinson,TEN,WR,40,7,9.0,19.0
92,Jakobi Meyers,JAC,WR,41,7,7.0,13.0
93,Makai Lemon,PHI,WR,42,7,10.0,-5.0
94,Brock Purdy,SF,QB,12,7,8.0,1.0
95,Parker Washington,JAC,WR,43,7,7.0,-29.0
96,Josh Downs,IND,WR,44,8,13.0,0.0
97,Kyle Monangai,CHI,RB,33,8,10.0,3.0
98,Travis Kelce,KC,TE,9,8,5.0,20.0
99,Kenny Gainwell,TB,RB,34,8,10.0,-14.0
100,Patrick Mahomes II,KC,QB,13,8,5.0,-1.0
101,Bo Nix,DEN,QB,14,8,10.0,10.0
102,Ricky Pearsall,SF,WR,45,8,8.0,1.0
103,J.K. Dobbins,DEN,RB,35,8,10.0,5.0
104,Matthew Stafford,LAR,QB,15,8,11.0,-7.0
105,Jake Ferguson,DAL,TE,10,8,14.0,21.0
106,Aaron Jones Sr.,MIN,RB,36,8,6.0,19.0
107,Jordan Addison,MIN,WR,46,8,6.0,-3.0
108,Blake Corum,LAR,RB,37,8,11.0,-7.0
109,Jared Goff,DET,QB,16,8,6.0,-2.0
110,Dalton Kincaid,BUF,TE,11,8,7.0,4.0
111,Quentin Johnston,LAC,WR,47,8,7.0,-32.0
112,Kyler Murray,MIN,QB,17,8,6.0,3.0
113,Jayden Reed,GB,WR,48,8,11.0,-21.0
114,Rachaad White,WAS,RB,38,8,7.0,-5.0
115,George Kittle,SF,TE,12,8,8.0,-2.0
116,Khalil Shakir,BUF,WR,49,8,7.0,8.0
117,Isaiah Likely,NYG,TE,13,8,8.0,6.0
118,Jordan Love,GB,QB,18,8,11.0,-2.0
119,Baker Mayfield,TB,QB,19,8,10.0,-7.0
120,Jayden Higgins,HOU,WR,50,8,8.0,2.0
121,Dallas Goedert,PHI,TE,14,8,10.0,9.0
122,Tyler Shough,NO,QB,20,8,8.0,-5.0
123,Jacory Croskey-Merritt,WAS,RB,39,8,7.0,6.0
124,Xavier Worthy,KC,WR,51,9,5.0,-18.0
125,KC Concepcion,CLE,WR,52,9,11.0,2.0
126,Tyrone Tracy Jr.,NYG,RB,40,9,8.0,5.0
127,Romeo Doubs,NE,WR,53,9,11.0,-7.0
128,Malik Willis,MIA,QB,21,9,6.0,5.0
129,Jordan Mason,MIN,RB,41,9,6.0,-8.0
130,Jalen Coker,CAR,WR,54,9,5.0,-2.0
131,Woody Marks,HOU,RB,42,9,8.0,11.0
132,Tyler Allgeier,ARI,RB,43,9,14.0,13.0
133,Mark Andrews,BAL,TE,15,9,13.0,-1.0
134,C.J. Stroud,HOU,QB,22,9,8.0,4.0
135,Zach Charbonnet,SEA,RB,44,9,11.0,20.0
136,Juwan Johnson,NO,TE,16,9,8.0,11.0
137,Matthew Golden,GB,WR,55,9,11.0,-18.0
